date,equity
2020-01-02,1000000.0
2020-01-03,1004734.9769908458
2020-01-06,1000285.1377863352
2020-01-07,996652.3084361358
2020-01-08,1002072.1802544772
2020-01-09,1000584.8809119402
2020-01-10,1000806.8399844471
2020-01-13,999661.8082645403
2020-01-14,999345.668225601
2020-01-15,1001925.6782440873
2020-01-16,1004346.561671199
2020-01-17,1009617.0658365395
2020-01-21,1010672.6619836835
2020-01-22,1014768.4094331709
2020-01-23,1018908.3260043248
2020-01-24,1019730.9608123846
2020-01-27,1024780.8969390416
2020-01-28,1026187.3058083298
2020-01-29,1028545.9442179265
2020-01-30,1031586.8518651798
2020-01-31,1030196.1465517508
2020-02-03,1030661.0579806815
2020-02-04,1032237.1127728723
2020-02-05,1026080.0993614316
2020-02-06,1030234.4756857193
2020-02-07,1032183.5069019003
2020-02-10,1040994.0978387962
2020-02-11,1039153.6545159658
2020-02-12,1040702.9823259835
2020-02-13,1041510.4564358777
2020-02-14,1049738.731478822
2020-02-18,1053428.3179649082
2020-02-19,1054826.8159428819
2020-02-20,1048640.1322551914
2020-02-21,1042481.447762581
2020-02-24,1045619.1788515723
2020-02-25,1052693.3051458155
2020-02-26,1065898.9660454383
2020-02-27,1064619.5200064986
2020-02-28,1065280.114754096
2020-03-02,1078937.2949239116
2020-03-03,1075876.0925276869
2020-03-04,1085998.6965997338
2020-03-05,1085226.871947181
2020-03-06,1109450.309946217
2020-03-09,1160581.9128980977
2020-03-10,1170930.8446659031
2020-03-11,1174712.1561253765
2020-03-12,1174407.6164951122
2020-03-13,1175052.2586237178
2020-03-16,1167745.1092235753
2020-03-17,1193476.6700584693
2020-03-18,1201669.3771153446
2020-03-19,1188785.0791641022
2020-03-20,1182988.5069299045
2020-03-23,1186267.9955952181
2020-03-24,1184514.9665160156
2020-03-25,1175503.1424788567
2020-03-26,1181242.633288532
2020-03-27,1192711.262372753
2020-03-30,1205769.46946141
2020-03-31,1195681.7696971374
2020-04-01,1193038.6178608239
2020-04-02,1173559.1246428248
2020-04-03,1162931.6809816
2020-04-06,1171890.8720984901
2020-04-07,1157977.451267047
2020-04-08,1148732.9340667275
2020-04-09,1147257.1944442717
2020-04-13,1151877.9406305032
2020-04-14,1163910.996908666
2020-04-15,1173669.7668001808
2020-04-16,1190204.5183206613
2020-04-17,1170710.954415803
2020-04-20,1173837.0718456763
2020-04-21,1170674.8632920315
2020-04-22,1166975.7638849583
2020-04-23,1154648.2112076767
2020-04-24,1160608.930504943
2020-04-27,1156799.7782790565
2020-04-28,1146646.1987704057
2020-04-29,1126781.7542719862
2020-04-30,1131692.1323592006
2020-05-01,1143266.7108776548
2020-05-04,1139034.722363666
2020-05-05,1143001.5400268827
2020-05-06,1148476.0263726139
2020-05-07,1139673.4963243532
2020-05-08,1129170.2630896305
2020-05-11,1138902.7140901806
2020-05-12,1137622.7540407865
2020-05-13,1144663.666971486
2020-05-14,1146985.6715829163
2020-05-15,1149391.205159999
2020-05-18,1134085.427448359
2020-05-19,1138488.7714664524
2020-05-20,1133788.5586174456
2020-05-21,1135124.7321991043
2020-05-22,1137618.1030147758
2020-05-26,1131715.7762671965
2020-05-27,1128095.670140497
2020-05-28,1134843.9086685667
2020-05-29,1143896.991805213
2020-06-01,1137566.0438784133
2020-06-02,1130481.8316397553
2020-06-03,1123182.5851045402
2020-06-04,1118091.3369803214
2020-06-05,1098268.359324844
2020-06-08,1080495.3843129221
2020-06-09,1095851.8067928664
2020-06-10,1115201.8400456952
2020-06-11,1122752.2640655404
2020-06-12,1117780.8344466356
2020-06-15,1119153.9539786081
2020-06-16,1122137.8701553561
2020-06-17,1129321.239611066
2020-06-18,1124670.528839625
2020-06-19,1126397.1522737276
2020-06-22,1130821.9324746737
2020-06-23,1133520.6936057268
2020-06-24,1145217.7712654583
2020-06-25,1140574.3830418636
2020-06-26,1146930.871322249
2020-06-29,1144945.8271305696
2020-06-30,1145905.6490854619
2020-07-01,1153557.3778065674
2020-07-02,1150235.8953700976
2020-07-06,1153139.0133171538
2020-07-07,1165349.7412010902
2020-07-08,1169319.8881712374
2020-07-09,1183737.004263802
2020-07-10,1171118.3572084524
2020-07-13,1173828.1048340166
2020-07-14,1165837.043584375
2020-07-15,1160745.3139383756
2020-07-16,1158640.2758231144
2020-07-17,1164752.5367910503
2020-07-20,1171371.1399605446
2020-07-21,1146056.4399706596
2020-07-22,1151376.0734555824
2020-07-23,1145692.6233838038
2020-07-24,1144121.9717777902
2020-07-27,1150434.275153441
2020-07-28,1152772.7286054848
2020-07-29,1146882.6792610493
2020-07-30,1161441.0088703951
2020-07-31,1167816.131704245
2020-08-03,1173763.8998617963
2020-08-04,1167261.6435593269
2020-08-05,1158773.7733798984
2020-08-06,1164209.4237367108
2020-08-07,1156514.1573529115
2020-08-10,1147979.8290717036
2020-08-11,1150257.0129570647
2020-08-12,1159011.2782505401
2020-08-13,1166408.7168299903
2020-08-14,1162663.3621830724
2020-08-17,1173678.7582974373
2020-08-18,1178753.0940305248
2020-08-19,1180352.2312955547
2020-08-20,1190933.7919426495
2020-08-21,1200788.180954441
2020-08-24,1189197.3776741556
2020-08-25,1192407.7673992752
2020-08-26,1201249.3747501662
2020-08-27,1195638.3180625085
2020-08-28,1193456.0041526782
2020-08-31,1206636.5131121615
2020-09-01,1207770.7958071316
2020-09-02,1213068.7099037326
2020-09-03,1198697.4763651465
2020-09-04,1198222.0854650934
2020-09-08,1207527.1042702505
2020-09-09,1216007.2333162464
2020-09-10,1223867.7249771492
2020-09-11,1216826.4663074813
2020-09-14,1220574.8385909968
2020-09-15,1222779.911627094
2020-09-16,1206240.8901222744
2020-09-17,1205748.9096299226
2020-09-18,1204392.6284972245
2020-09-21,1223218.1362141224
2020-09-22,1227209.4043407775
2020-09-23,1235932.2784164767
2020-09-24,1233089.152489454
2020-09-25,1244899.4215835058
2020-09-28,1240632.782577037
2020-09-29,1248066.2611360922
2020-09-30,1250646.3948841346
2020-10-01,1255966.1634194243
2020-10-02,1246828.889896608
2020-10-05,1242244.294776203
2020-10-06,1245418.793239788
2020-10-07,1244637.2280474957
2020-10-08,1233666.6698157177
2020-10-09,1237506.3943180747
2020-10-12,1242101.2896970182
2020-10-13,1249268.0814458132
2020-10-14,1253522.6614909915
2020-10-15,1247603.424027332
2020-10-16,1257784.454955042
2020-10-19,1259826.493150133
2020-10-20,1254759.991178799
2020-10-21,1261545.1798450672
2020-10-22,1249520.9998789856
2020-10-23,1250447.9823612124
2020-10-26,1264388.3297437758
2020-10-27,1263040.3626378581
2020-10-28,1269990.7473699367
2020-10-29,1264307.7240696824
2020-10-30,1248986.9921965573
2020-11-02,1234806.7985833846
2020-11-03,1237641.5939921665
2020-11-04,1250142.0604915349
2020-11-05,1249175.1200655352
2020-11-06,1264331.7951516008
2020-11-09,1183682.7876703811
2020-11-10,1166582.998871707
2020-11-11,1179897.4785776357
2020-11-12,1193971.4132250105
2020-11-13,1178012.4289975516
2020-11-16,1151927.8723354558
2020-11-17,1146368.216621676
2020-11-18,1150538.0451456774
2020-11-19,1144785.457418808
2020-11-20,1145131.6977779958
2020-11-23,1114011.4228073617
2020-11-24,1096472.3256989764
2020-11-25,1102768.292735275
2020-11-27,1107324.3970967587
2020-11-30,1129389.2169715774
2020-12-01,1130421.026924076
2020-12-02,1118051.5322113577
2020-12-03,1110797.9741413863
2020-12-04,1088115.8059858875
2020-12-07,1099043.5409238825
2020-12-08,1093786.3758818775
2020-12-09,1088458.7468605812
2020-12-10,1077732.5704983925
2020-12-11,1078302.6731211247
2020-12-14,1078302.6731211247
2020-12-15,1078302.6731211247
2020-12-16,1078302.6731211247
2020-12-17,1078302.6731211247
2020-12-18,1078302.6731211247
2020-12-21,1078302.6731211247
2020-12-22,1078302.6731211247
2020-12-23,1078302.6731211247
2020-12-24,1078302.6731211247
2020-12-28,1078302.6731211247
2020-12-29,1078302.6731211247
2020-12-30,1078302.6731211247
2020-12-31,1078302.6731211247
2021-01-04,1078302.6731211247
2021-01-05,1078302.6731211247
2021-01-06,1078302.6731211247
2021-01-07,1078302.6731211247
2021-01-08,1078302.6731211247
2021-01-11,1078302.6731211247
2021-01-12,1078302.6731211247
2021-01-13,1078302.6731211247
2021-01-14,1078302.6731211247
2021-01-15,1078302.6731211247
2021-01-19,1078302.6731211247
2021-01-20,1078302.6731211247
2021-01-21,1078302.6731211247
2021-01-22,1078302.6731211247
2021-01-25,1078302.6731211247
2021-01-26,1078302.6731211247
2021-01-27,1078302.6731211247
2021-01-28,1078302.6731211247
2021-01-29,1078302.6731211247
2021-02-01,1078302.6731211247
2021-02-02,1078302.6731211247
2021-02-03,1078302.6731211247
2021-02-04,1078302.6731211247
2021-02-05,1078302.6731211247
2021-02-08,1078302.6731211247
2021-02-09,1078302.6731211247
2021-02-10,1078302.6731211247
2021-02-11,1078302.6731211247
2021-02-12,1078302.6731211247
2021-02-16,1078302.6731211247
2021-02-17,1078302.6731211247
2021-02-18,1078302.6731211247
2021-02-19,1078302.6731211247
2021-02-22,1078302.6731211247
2021-02-23,1078302.6731211247
2021-02-24,1078302.6731211247
2021-02-25,1078302.6731211247
2021-02-26,1078302.6731211247
2021-03-01,1078302.6731211247
2021-03-02,1078302.6731211247
2021-03-03,1078302.6731211247
2021-03-04,1078302.6731211247
2021-03-05,1078302.6731211247
2021-03-08,1078302.6731211247
2021-03-09,1078302.6731211247
2021-03-10,1078302.6731211247
2021-03-11,1078302.6731211247
2021-03-12,1078302.6731211247
2021-03-15,1078302.6731211247
2021-03-16,1078302.6731211247
2021-03-17,1078302.6731211247
2021-03-18,1078302.6731211247
2021-03-19,1078302.6731211247
2021-03-22,1078302.6731211247
2021-03-23,1078302.6731211247
2021-03-24,1078302.6731211247
2021-03-25,1078302.6731211247
2021-03-26,1078302.6731211247
2021-03-29,1078302.6731211247
2021-03-30,1078302.6731211247
2021-03-31,1078302.6731211247
2021-04-01,1078302.6731211247
2021-04-05,1078302.6731211247
2021-04-06,1078302.6731211247
2021-04-07,1078302.6731211247
2021-04-08,1078302.6731211247
2021-04-09,1078302.6731211247
2021-04-12,1078302.6731211247
2021-04-13,1078302.6731211247
2021-04-14,1078302.6731211247
2021-04-15,1078302.6731211247
2021-04-16,1078302.6731211247
2021-04-19,1078302.6731211247
2021-04-20,1078302.6731211247
2021-04-21,1078302.6731211247
2021-04-22,1078302.6731211247
2021-04-23,1078302.6731211247
2021-04-26,1078302.6731211247
2021-04-27,1078302.6731211247
2021-04-28,1078302.6731211247
2021-04-29,1078302.6731211247
2021-04-30,1078302.6731211247
2021-05-03,1078302.6731211247
2021-05-04,1078302.6731211247
2021-05-05,1078302.6731211247
2021-05-06,1078302.6731211247
2021-05-07,1078302.6731211247
2021-05-10,1078302.6731211247
2021-05-11,1078302.6731211247
2021-05-12,1078302.6731211247
2021-05-13,1078302.6731211247
2021-05-14,1078302.6731211247
2021-05-17,1078302.6731211247
2021-05-18,1078302.6731211247
2021-05-19,1078302.6731211247
2021-05-20,1078302.6731211247
2021-05-21,1078302.6731211247
2021-05-24,1078302.6731211247
2021-05-25,1078302.6731211247
2021-05-26,1078302.6731211247
2021-05-27,1078302.6731211247
2021-05-28,1078302.6731211247
2021-06-01,1078302.6731211247
2021-06-02,1078302.6731211247
2021-06-03,1078302.6731211247
2021-06-04,1078302.6731211247
2021-06-07,1078302.6731211247
2021-06-08,1078302.6731211247
2021-06-09,1078302.6731211247
2021-06-10,1078302.6731211247
2021-06-11,1078302.6731211247
2021-06-14,1078302.6731211247
2021-06-15,1078302.6731211247
